disease,MED.DISEASES.Blood.Anemia,MED.DISEASES.Blood.Thrombosis,MED.DISEASES.Cancer.Any,MED.DISEASES.Cardiovascular.Arrythmia.MedDiagnosed,MED.DISEASES.Cardiovascular.Colesterol.high,MED.DISEASES.Cardiovascular.Heart.Attack,MED.DISEASES.Cardiovascular.Heart.Failure.Disorder,MED.DISEASES.Cardiovascular.Heartrate.complains,MED.DISEASES.Cardiovascular.Hypertension,MED.DISEASES.Endocrine.DiabetesT2,MED.DISEASES.Gastrointestinal.Stomach.Ulcer,MED.DISEASES.Hepatologic.Gallstones,MED.DISEASES.Mental.Any,MED.DISEASES.Mental.Burn.Out,MED.DISEASES.Mental.Depression,MED.DISEASES.Mental.Other.anxiety,MED.DISEASES.Mental.Panic.disorder,MED.DISEASES.Neurological.Dizziness.Falling,MED.DISEASES.Neurological.Mental.Fibromyalgia,MED.DISEASES.Neurological.Migraine,MED.DISEASES.Other.Autoimmune.Rheumatoid.Artritis,MED.DISEASES.Other.Chronic.cystitis,MED.DISEASES.Other.Chronic.Inflammation.Throatnose,MED.DISEASES.Other.Chronic.Muscle.Weakness,MED.DISEASES.Other.Fractures.Other,MED.DISEASES.Other.Incontinence,MED.DISEASES.Other.Kidney.Stones,MED.DISEASES.Other.Osteoarthritis,MED.DISEASES.Other.Osteoporosis,MED.DISEASES.Other.RSI,MED.DISEASES.Pulmonary.Autoimmune.Asthma,MED.DISEASES.Pulmonary.COPD,MED.DISEASES.Skin.Autoimmune.Atopic.dermatitis,MED.DISEASES.Skin.Autoimmune.Psoriasis,MED.DISEASES.Skin.Autoimmune.Severe.acne,MED.DISEASES.Gastrointestinal.Rome3_IBS.Any,MED.DISEASES.None.No.Diseases
MED.DISEASES.Blood.Anemia,1,0.030155518,0.023660698,0.034828556,-0.013506254,-0.026579618,-0.005956634,0.092097199,0.032507649,0.001839968,0.024063959,0.064607811,0.109039221,0.039675773,0.048660138,0.051273785,0.054330785,0.013315382,0.068923906,0.138918931,0.033217646,0.086287333,0.051093201,0.070110742,0.000555412,0.067330315,-0.011400175,0.055869733,0.039045686,0.011864857,0.019167002,0.009635455,0.103226315,0.009517194,0.060007583,0.04954944,-0.220571981
MED.DISEASES.Blood.Thrombosis,0.131026313,1,0.023773871,0.03904039,0.04208665,-0.013205939,-0.005303241,0.030620218,0.03232672,0.019818901,0.006462143,0.039995356,0.007361899,0.012085357,-0.00757754,-0.005168679,-0.011518166,0.040329377,0.028016371,0.034290659,0.022650487,0.028110373,0.018944662,0.031334163,-0.001423233,-0.016703283,0.006962136,0.035991451,0.031793733,0.017164426,0.000583128,0.022380562,0.001593836,-0.005318063,0.002060624,0.01101488,-0.080449008
MED.DISEASES.Cancer.Any,0.03546129,0.226624034,1,0.028109708,0.038071275,0.01308009,0.01263786,0.049754634,0.069191446,0.049459715,0.010831418,0.036521773,0.012596687,0.006233189,0.027784053,0.009193129,0.00062017,0.027322576,0.029459119,0.015626716,0.01053304,-0.002393887,0.007271338,0.043711851,0.016005629,0.026517544,0.006175122,0.046918007,0.035471948,0.014405418,-0.001488938,0.009383598,-0.002085583,0.021904697,0.003573849,-0.007328989,-0.030846687
MED.DISEASES.Cardiovascular.Arrythmia.MedDiagnosed,0.193567579,-0.046150939,0.136778925,1,0.103523882,0.064708964,0.129612032,0.532372297,0.131159229,0.026798928,0.012169995,0.031471627,0.034694382,0.001972252,0.019936258,0.050656492,0.038719677,0.0208024,0.045641429,0.026967152,0.029571816,0.022892773,0.02053829,0.036008072,0.036378245,0.032529839,0.004206096,0.082823057,0.065131753,0.014653819,0.021109374,0.039089408,0.004426899,0.016267709,0.003831517,0.030879848,-0.031921656
MED.DISEASES.Cardiovascular.Colesterol.high,0.193450143,0.421230238,0.265045221,0.213282273,1,0.142602774,0.037103275,0.056879725,0.221740722,0.156230572,0.068424059,0.015946189,-0.011053031,-0.013168546,0.014540965,0.009076776,0.015945249,-0.003156341,0.0302096,0.003077967,0.054309847,0.009345014,0.022085721,0.032552171,0.022120223,0.013665377,-0.012185245,0.105162898,0.038984538,0.02617894,-0.017199189,0.029387819,-0.018215797,0.04280023,0.022266321,0.002560482,-0.000645493
MED.DISEASES.Cardiovascular.Heart.Attack,0.197341627,0.32841574,0.162663503,0.079365929,0.373564307,1,0.168083212,0.022663814,0.079334063,0.07679794,0.061956924,0.027869359,0.0024413,0.010862242,0.018227457,0.000874863,-0.018752227,0.047941102,0.008725152,-0.002117823,0.036887938,-0.006546641,-0.011790273,0.020234419,0.012885469,-0.00220355,0.035322389,0.056313968,0.022825435,0.008275279,0.029946929,0.045370647,-0.018218304,0.020552805,0.001331434,0.010038823,-0.004446263
MED.DISEASES.Cardiovascular.Heart.Failure.Disorder,-0.048130674,-0.110315704,0.184315239,0.469385825,0.211727516,0.192270843,1,0.084550831,0.056191004,0.001649892,0.017863205,0.027579874,0.036073078,0.019786568,0.033567532,-0.00179908,0.017791472,0.034584597,-0.000370993,0.001309028,0.05360709,-0.016020525,0.003674331,0.041859953,0.023653607,0.009456536,0.031240328,0.046642353,0.048263613,0.020531195,0.033921135,0.011268397,-0.001198646,0.004207721,-0.001341035,0.002209006,-0.013962542
MED.DISEASES.Cardiovascular.Heartrate.complains,0.153190709,0.129439442,0.263656772,0.503906219,0.141782339,-0.089176309,0.195302052,1,0.103136481,0.015756419,0.029327314,0.041599956,0.115359516,0.062447379,0.065530459,0.086369803,0.07389527,0.042540554,0.085701175,0.105769962,0.04179267,0.014591961,0.064593938,0.073539472,0.04539768,0.060572219,0.017606792,0.101328729,0.071813398,0.03571537,0.043647035,0.042833068,0.057793647,0.017674733,0.030100679,0.093073482,-0.074581278
MED.DISEASES.Cardiovascular.Hypertension,-0.160713667,0.311167514,0.441189836,0.067813038,0.256908054,0.118532559,0.295951435,0.192350424,1,0.123094432,0.042690887,0.053836854,0.027977845,0.015000746,0.039352201,0.029929978,0.014152119,0.027451103,0.058062298,0.067281682,0.060241425,0.019092888,0.047193861,0.054660198,0.032243125,0.039541849,0.029779795,0.12308145,0.051577253,0.025129234,0.037546246,0.054798298,0.036183276,0.015961155,0.022772442,0.018545843,-0.035809857
MED.DISEASES.Endocrine.DiabetesT2,-0.068206023,0.22956123,0.508943997,0.005788497,0.321667787,0.296320774,0.201522425,0.115564757,0.432515381,1,0.014600613,0.025418831,0.011376159,0.013002155,0.030696334,-0.003955316,-0.01373949,-0.004466593,0.033260795,-0.009094034,0.03809106,0.000295113,-0.00754782,0.031366632,-0.004477513,0.001068872,0.028391768,0.031454387,0.009477975,0.010825838,0.00620797,0.052763147,-0.001597157,0.006154108,0.00706182,0.066299899,-0.003055933
MED.DISEASES.Gastrointestinal.Stomach.Ulcer,-0.01356392,0.457219325,0.328108302,0.026653634,0.327605864,0.409898847,0.166898443,0.151550196,0.391140221,0.539452742,1,0.05723042,0.047989124,0.029227527,0.052563332,0.012215879,0.009371466,0.040753025,0.066083996,0.046013085,0.036971298,0.020667302,0.053502492,0.057855159,0.016682152,0.011757089,0.030896824,0.086860083,0.048462181,0.04630821,0.030361843,0.048764949,0.015186794,0.007846053,0.004943854,0.066450111,-0.096268941
MED.DISEASES.Hepatologic.Gallstones,0.205700463,0.243448979,0.313788992,0.009688257,0.014823442,0.278703201,-0.0865421,0.126629126,0.265618947,0.324120735,0.26527498,1,0.049845502,0.017403538,0.033582506,0.025175544,-0.003768166,0.019208981,0.028832308,0.059312078,0.038696737,0.039034958,0.064998392,0.033253307,-0.001489154,0.039967834,0.025364605,0.04757324,0.014473785,0.047997169,0.021584954,0.019400088,0.03212,0.035946285,0.014896142,0.0472972,-0.133185449
MED.DISEASES.Mental.Any,0.17740988,0.030771024,0.28484859,0.389755167,0.097365067,0.061916182,0.228275255,0.389365685,0.177518225,0.148638526,0.09583131,0.203448149,1,0.584688357,0.519456672,0.408310923,0.401464506,0.056427442,0.098622261,0.094132796,0.025864702,0.039700844,0.066776073,0.076446638,-0.004565031,0.060875783,0.034801801,0.048726587,0.021216006,0.072288139,0.047928957,0.044550638,0.050791697,0.027532412,0.036808707,0.120847704,-0.148698861
MED.DISEASES.Mental.Burn.Out,0.096806021,0.127459022,0.312463683,0.353751023,0.230211112,-0.000755613,0.243486949,0.387622356,0.206272253,0.1940743,0.19215906,-0.040415061,0.678060569,1,0.299663727,0.060252764,0.059033781,0.053238268,0.079990216,0.080838884,0.013471294,0.008463884,0.059450715,0.069059125,-0.015217375,0.041508094,0.048041614,0.028875963,0.019234737,0.054300868,0.038741709,0.034705273,0.023823884,0.001878098,0.02043347,0.108885289,-0.077734366
MED.DISEASES.Mental.Depression,0.132640111,0.388068201,0.331139508,0.263756207,0.259652003,0.256732619,0.162353984,0.333471312,0.305491429,0.357480303,0.431646566,0.301613361,0.617457511,0.483173945,1,0.113747124,0.10513911,0.065703819,0.119301647,0.05126585,0.048671968,0.040224595,0.039048516,0.064875703,0.012061158,0.045499765,0.009745319,0.076027656,0.037678587,0.072180529,0.043265701,0.041350497,0.034794183,0.029733995,0.01596994,0.106055393,-0.082557485
MED.DISEASES.Mental.Other.anxiety,0.041182927,0.222039846,0.004324415,0.275166756,0.143579588,-0.004277259,0.105591615,0.271059024,0.18200865,0.000487024,0.152039928,0.043955835,0.403975945,0.31473554,0.395508827,1,0.210174973,0.024363563,0.01704837,0.027915207,-0.017945366,0.002844952,0.032568781,0.02589422,-0.013322254,0.028863799,0.016169566,0.009592948,-0.006160759,0.017761628,-0.011029492,0.000341189,0.03254183,0.024913084,0.026197793,0.046463988,-0.07508423
MED.DISEASES.Mental.Panic.disorder,0.071538797,0.316052818,0.424574832,0.136664002,0.235709187,0.199020763,0.04112483,0.285039134,0.358131676,0.340886473,0.307248781,0.381759424,0.447133092,0.338120352,0.483933587,0.154058076,1,0.012529412,0.031395644,0.05337628,-0.006377672,0.046310001,0.030769151,0.037969809,-0.007332861,0.01935611,0.003004302,0.002409581,0.000157337,0.024594637,0.008345887,-0.003059879,0.009140323,-0.002649952,0.042161614,0.042229192,-0.083550591
MED.DISEASES.Neurological.Dizziness.Falling,-0.019705022,0.077179765,0.193367262,0.105359068,0.133695689,0.097612494,0.148479679,0.147248625,0.21994896,0.136950376,0.125971871,0.128015578,0.226809731,0.184235113,0.140513919,0.058820882,0.275669673,1,0.069213744,0.019786394,0.033591187,0.032367661,-0.004443356,0.04390764,0.010660372,0.045726238,0.050855887,0.034116483,0.02021477,0.044520723,0.035731208,0.012420604,0.012340077,-0.001181349,-0.013371644,0.049736605,-0.033750309
MED.DISEASES.Neurological.Mental.Fibromyalgia,0.167770473,0.08006226,0.287739827,0.439380751,0.13210095,0.128490349,0.339499872,0.442921826,0.248311176,0.2146007,0.256123152,0.234552755,0.39826196,0.303582969,0.333349411,0.204257223,0.253235948,0.145680959,1,0.094749501,0.096962445,0.079345174,0.037204993,0.217864813,0.035762351,0.054372818,0.02936928,0.17866085,0.100216176,0.042247412,0.070334722,0.048529695,0.016736286,0.020965364,0.000591605,0.119924143,-0.099625425
MED.DISEASES.Neurological.Migraine,0.058134482,-0.186257704,0.153095436,0.390016333,0.119566564,-0.166172757,0.36905166,0.341959836,0.254732223,-0.040492335,-0.03553405,-0.173814263,0.33908901,0.408410901,0.110963593,0.205190039,0.156775588,0.02912453,0.314383616,1,0.004534122,0.0788377,0.065407042,0.049839262,0.001318454,0.034248514,0.004759058,0.043577568,0.059491424,0.047404397,0.044879237,0.010552402,0.059958328,0.009030588,0.027949894,0.042861579,-0.28368
MED.DISEASES.Other.Autoimmune.Rheumatoid.Artritis,0.147980942,0.13357649,0.221443658,0.372305805,0.464869163,0.46274006,0.41396818,0.098133851,0.092926925,0.255264497,0.190917409,0.013018379,0.25839227,0.219878195,0.299181579,0.182820308,0.127303803,0.141129304,0.264786993,0.128642659,1,0.04368177,0.015758662,0.11485538,0.046492951,0.03382881,0.047481708,0.184622318,0.088908869,0.02665055,0.03902586,0.088149182,0.014707817,0.090538972,-0.006567325,0.050797657,-0.060708744
MED.DISEASES.Other.Chronic.cystitis,0.037221295,0.121494252,0.347389415,0.164489501,0.205523105,-0.001179451,0.117774321,0.314642809,0.244230842,0.292621741,0.302629221,0.068639361,0.211385683,0.32803878,0.177080547,0.007724985,0.265758517,0.082263525,0.291679776,0.281419808,-0.034889485,1,0.090146766,0.051312696,0.014864837,0.10157172,0.029224016,0.033071508,0.024313651,0.011443219,-0.001078707,0.020233274,0.003379203,-0.003342143,0.015523145,0.028946925,-0.082125087
MED.DISEASES.Other.Chronic.Inflammation.Throatnose,0.178337471,0.041576019,0.197147346,0.508433218,0.347940602,0.092180177,0.432129841,0.259499597,0.282463096,0.006757123,-0.037369926,0.039474363,0.340632739,0.302330393,0.215800437,0.291829814,0.112203219,0.159981501,0.317169513,0.473281209,0.417160054,0.091541858,1,0.041497978,0.017763906,0.040717958,0.010139769,0.033042001,0.013417866,0.036530028,0.072087984,0.063603015,0.045909397,-0.013297007,0.04445983,0.06348156,-0.145915352
MED.DISEASES.Other.Chronic.Muscle.Weakness,-0.055160918,-0.041268692,0.471564014,0.17099761,0.007635746,-0.093178537,0.213325998,0.418245524,0.324173296,0.415694716,0.282623435,0.170779863,0.330639093,0.350496857,0.283659012,0.074820531,0.350176063,0.082938916,0.357935179,0.392689072,0.050847776,0.446507797,0.129677447,1,0.011368233,0.045051765,0.032983923,0.13248525,0.046981053,0.037651149,0.046178088,0.046809957,0.018706651,0.03558941,0.009880378,0.085057314,-0.077241306
MED.DISEASES.Other.Fractures.Other,0.175367705,-0.218009019,0.057608865,0.351547334,-0.045114147,-0.22665082,0.010529412,0.397250777,-0.317675038,-0.095538635,-0.183668223,-0.070281399,0.242747245,0.267207253,0.068584383,0.153569918,-0.014380191,-0.082066889,0.196798054,0.192915549,0.009777615,0.154699873,0.048594079,0.166605573,1,-0.00358784,0.01466904,0.076926356,0.148368512,0.012286849,0.040662727,0.050958616,-0.014937836,-0.008178641,-0.01830349,0.008306134,-0.000333653
MED.DISEASES.Other.Incontinence,0.127043304,0.231981284,0.125708255,0.162490671,0.16069883,0.311987326,0.142396239,0.066644921,0.208325247,0.068914764,0.210514826,0.282757008,0.162159055,0.09251826,0.221269366,0.141393812,0.15365751,0.213783873,0.222002217,-0.022008819,0.158327064,0.086629154,0.154875058,-0.006038902,-0.099079565,1,-0.008684377,0.044997829,0.004422624,-0.007135208,0.007845841,0.007015868,0.025113079,-0.003137474,0.013681239,0.070376463,-0.08298982
MED.DISEASES.Other.Kidney.Stones,-0.213001642,-0.211903429,0.32947359,0.165080398,-0.026512262,-0.175666713,0.374870611,0.19617524,0.492027571,0.220037697,0.078985777,-0.086153178,0.3260269,0.328864025,0.139633902,0.077839484,0.262237713,0.286918838,0.260519065,0.475059839,0.067430657,0.264054577,0.273039795,0.485340871,0.008644692,-0.003604398,1,0.035003392,0.008744213,0.018095705,0.00681725,0.02989319,-0.002771618,-0.011563819,0.009801547,0.035460566,-0.007238952
MED.DISEASES.Other.Osteoarthritis,0.258067663,0.257363141,0.132271077,0.22138578,0.114803328,0.316702965,0.051571273,0.16677362,0.117571097,0.000113385,0.129551654,0.379307805,0.305698139,0.137464827,0.325276419,0.229539924,0.170039587,0.159962493,0.377378613,-0.000606205,0.307316366,-0.061838985,0.256725218,-0.020576131,-0.00497368,0.296825816,-0.073097545,1,0.177466258,0.051646264,0.039498278,0.084547218,0.030871037,0.002088651,-0.00518239,0.026248254,-0.097057633
MED.DISEASES.Other.Osteoporosis,-0.057452005,0.399333827,0.294536486,0.01561564,0.101284848,0.165067405,0.086255861,0.180426107,0.379841969,0.288114174,0.412732395,0.299086828,0.206222505,0.216005514,0.326049149,0.167892191,0.352776135,0.193342603,0.277891755,-0.01961868,0.027881112,0.166276899,-0.036283444,0.211374638,-0.065392772,0.193080395,0.2013504,0.267342041,1,0.034781819,0.037018718,0.055737661,0.002524129,-0.000795045,-0.016971438,0.020035616,-0.064812032
MED.DISEASES.Other.RSI,0.129185563,0.027829759,-0.06361961,0.273085347,0.166929288,-0.106600943,0.074905271,0.10286551,-0.131961906,-0.21542918,-0.210073994,-0.199886542,0.272960894,0.308878459,0.144588296,0.311018312,0.004918911,-0.119672533,-0.020896016,0.298110592,0.185419638,-0.06249355,0.327304414,-0.122479116,0.225885302,-0.055825624,-0.047065328,0.044394191,-0.207315749,1,0.043951946,0.032533863,0.018549,-0.005300213,0.00113058,0.055676435,-0.036209614
MED.DISEASES.Pulmonary.Autoimmune.Asthma,0.095225223,0.180519779,0.341163804,0.498536157,0.295791553,0.178801801,0.42431525,0.436117066,0.273205695,0.392371327,0.325788375,0.135273339,0.330757269,0.3720907,0.387379854,0.261298486,0.262679336,0.147904429,0.492625306,0.292511532,0.442152302,0.247421941,0.390274011,0.374078895,0.248034732,0.139398566,0.248258851,0.210436219,0.276923261,0.116106374,1,0.261936495,0.082689365,0.003072831,-0.013960037,0.002521697,-0.039438812
MED.DISEASES.Pulmonary.COPD,0.119587133,0.19019009,0.433931875,0.337713012,0.369307401,0.294936483,0.345547247,0.356910284,0.371099357,0.435363763,0.393609883,0.301245597,0.414854427,0.378720304,0.439746587,0.183016275,0.398343462,0.20532335,0.415777138,0.290583686,0.457771406,0.265208608,0.375441043,0.382428567,0.077075487,0.187435604,0.337155414,0.313625536,0.334025579,0.088179165,0.59396424,1,0.037522873,0.012971152,-0.012068394,0.034177708,-0.029017719
MED.DISEASES.Skin.Autoimmune.Atopic.dermatitis,0.016715229,0.09382072,0.173144282,0.125128766,-0.08302248,-0.157401372,0.018536355,0.363444353,0.384689834,-0.03881491,0.077568539,0.29152634,0.371115976,0.216623074,0.209027328,0.211158609,0.316351615,0.167409309,0.323524014,0.318545515,-0.152824451,0.160256362,0.203320347,0.329467655,0.045387774,0.123134887,0.351860802,0.274059185,0.371526027,0.006546978,0.200309038,0.296219822,1,0.003981833,0.038858331,0.008522985,-0.200706614
MED.DISEASES.Skin.Autoimmune.Psoriasis,0.014611265,-0.069254165,-0.17328125,0.02330268,-0.197471339,0.118540147,0.05750961,-0.13253062,0.128663177,-0.243052563,-0.197709586,0.330403386,0.132536758,-0.151738488,0.00288418,0.085571214,0.00390162,0.137945206,0.100390204,0.000380269,0.034601709,-0.341079253,0.215273631,-0.207871427,-0.269364494,0.27029141,0.056603495,0.441952838,0.103512869,-0.00929174,-0.150639133,0.034802144,0.315681996,1,0.006683476,0.005274431,-0.082202175
MED.DISEASES.Skin.Autoimmune.Severe.acne,-0.064935145,0.101248314,0.123880064,-0.176001648,-0.078086161,-0.197649422,-0.220825249,0.215622372,-0.001122905,0.206120501,0.238328793,0.013855595,-0.111835743,0.023576682,0.026215865,-0.082227087,0.119287577,-0.053727617,-0.036649159,-0.135014258,-0.334123988,0.287715902,-0.402286512,0.241956965,0.148097349,-0.140315045,-0.068494699,-0.265645228,0.130586238,-0.196533063,0.036289508,-0.077062798,0.039326165,-0.547262522,1,0.044644581,-0.085919322
MED.DISEASES.Gastrointestinal.Rome3_IBS.Any,0.098953195,0.398030538,0.330590559,0.385758491,0.390235665,0.227373074,0.252888382,0.320054303,0.44487487,0.39074174,0.373854877,0.315093581,0.387194543,0.322977141,0.510154322,0.441223052,0.414764221,0.168530905,0.424940591,0.208057758,0.3947084,0.115542421,0.392057437,0.245248884,-0.027108006,0.276100769,0.219395563,0.306164054,0.316644046,0.173337057,0.512620228,0.502349903,0.247183178,0.168869341,-0.14095751,1,-0.118912101
MED.DISEASES.None.No.Diseases,-0.218708622,-0.325579925,-0.389196848,-0.397133502,-0.365629694,-0.167334446,-0.260380585,-0.441653509,-0.321658008,-0.372387403,-0.330515507,-0.314109696,-0.360040501,-0.320495707,-0.409901907,-0.209138965,-0.411348584,-0.109368522,-0.420592477,-0.251671335,-0.325127901,-0.354038101,-0.351924792,-0.391201116,-0.128139611,-0.126231476,-0.20711392,-0.225748964,-0.247947925,-0.121120165,-0.485761593,-0.465233798,-0.266681877,0.058546325,-0.036175286,-0.561523487,1
